displayName,sourcePath,itemCode,kindCode,itemNameHint,unitHint,notes
즉석밥,PROCESS_PAGE,811,01,CJ 햇반 백미밥 210g×8개,210g×8개,KAMIS 가공식품 소매가격 품목별
두부,PROCESS_PAGE,812,01,풀무원 국산콩 300g×2,300g×2,KAMIS 가공식품 소매가격 품목별
포기김치,PROCESS_PAGE,813,01,대상 종가집 포기김치 3.3kg,3.3kg,KAMIS 가공식품 소매가격 품목별
포기김치,PROCESS_PAGE,813,02,대상 종가집 포기김치 2.8kg,2.8kg,KAMIS 가공식품 소매가격 품목별
고추장,PROCESS_PAGE,814,01,해찬들 우리쌀로만든 태양초고추장 1kg,1kg,KAMIS 가공식품 소매가격 품목별
된장,PROCESS_PAGE,815,01,청정원 재래식 생된장 1kg,1kg,KAMIS 가공식품 소매가격 품목별
간장,PROCESS_PAGE,816,01,샘표 양조간장 501 1.7L,1.7L,KAMIS 가공식품 소매가격 품목별
맛김(조미김),PROCESS_PAGE,817,01,동원에프앤비 양반 들기름김 5g×20봉,5g×20봉,KAMIS 가공식품 소매가격 품목별
콩나물,PROCESS_PAGE,818,01,풀무원 국산콩 콩나물 340g,340g,KAMIS 가공식품 소매가격 품목별
